item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Caregory,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>20 Availability,item>>21 Images
B00Y3FVVBK,B00R7OHMH6,TRYLO Krutika Women's Non-Wired Full Cup Cotton Bra,TRYLO,no,39,Clothing & Accessories Clothing & Accessories,2,Women's Everyday Bras,,,Clothing & Accessories|Women|Lingerie|Bras|Everyday Bras,https://www.amazon.in/dp/B00Y3FVVBK?psc=1,Maroon,44F,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/71v-cYwUqnL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/719bPcaXZeL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71PYl6RFueL._UL1500_.jpg
B07XD5QCLZ,B07SNRD4CZ,Anni Designer Women's Art silk with blouse piece Saree(Free Size),ANNI DESIGNER,no,40,Clothing & Accessories Clothing & Accessories,5,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07XD5QCLZ?psc=1,Mustard,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/91XzMCveKVL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ZFZwieucL._UL1280_.jpg|https://images-na.ssl-images-amazon.com/images/I/91ZbX7clDnL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71YUhcOAH8L._UL1280_.jpg
B07JCKYCJ1,,"Intellilens® Square Unisex Blue Cut Spectacles With Anti-glare for Eye Protection (Zero Power, Black)",Intellilens,no,50,Amazon Launchpad Amazon Launchpad,1,Fashion,1,Computer Bluelight Blocking Glasses,Health & Personal Care|Health Care|Eye Care|Computer Bluelight Blocking Glasses,https://www.amazon.in/dp/B07JCKYCJ1?psc=1,,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/619cbIBhSAL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61kAVplA0hL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61Q272uAlQL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51b1GOiEAQL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/517dGrpRJoL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61OotowKjhL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61IvH5FpYlL._UL1080_.jpg
B07PM5KNHJ,B07TV3HYGV,Yashika women's art silk kalamkari and bhagalpuri style saree with blouse piece and soft feel (kora),Yashika,no,42,Clothing & Accessories Clothing & Accessories,6,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07PM5KNHJ?psc=1,Pink,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/915EZngkF%2BL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91LIhT26LQL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81GI1oWLqhL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91%2BxrAqVnTL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71gNMsHwNVL._UL1500_.jpg
B07YYGTT6V,B07N1BK54Z,Anni Designer Women's Art silk with blouse piece Saree(Free Size),ANNI DESIGNER,no,45,Clothing & Accessories Clothing & Accessories,7,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07YYGTT6V?psc=1,Golden,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/912tZPOvC3L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91Nfpvp1yhL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71RUUAMWW9L._UL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/61M-8VWbxbL._UL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/81qeFMFqOYL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91KgcJ7NmOL._UL1400_.jpg|https://images-na.ssl-images-amazon.com/images/I/91gdCtIqxnL._UL1400_.jpg
B01INDDFW0,B01BWTIQ44,Jockey Women's Cotton Boy Leg Short,Jockey,no,46,Clothing & Accessories Clothing & Accessories,1,Women's Boyshorts,,,Clothing & Accessories|Women|Lingerie|Panties|Boyshorts,https://www.amazon.in/dp/B01INDDFW0?psc=1,Peach Blossom,X-Large,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81Tl3SSoyvL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81kgk1AhNAL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/814buC5H71L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71-dFuihHRL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1fgqhHiLcL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1tcLTHj5eL._UL1500_.jpg
B07GJNCCZ4,B083QHZXTD,Vaamsi Women's Crepe a-line Kurta,Vaamsi,no,48,Clothing & Accessories Clothing & Accessories,2,Women's Kurtas & Kurtis,,,Clothing & Accessories|Women|Ethnic Wear|Kurtas & Kurtis,https://www.amazon.in/dp/B07GJNCCZ4?psc=1,Blue,small,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/61H6j5IxyrL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/61WXZHyO5XL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/51rcSCtsn0L._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/7145ey8CN3L._UL1440_.jpg
B07HXD9HCL,B010VVNGRG,Jockey Women's Cotton Bikini Brief,Jockey,no,49,Clothing & Accessories Clothing & Accessories,1,Women's Briefs,2,Women's Bikini Knickers,Clothing & Accessories|Women|Lingerie|Panties|Briefs,https://www.amazon.in/dp/B07HXD9HCL?psc=1,Light Grey Melange,Medium,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/813lRrzGYrL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/613%2BGZxkLdL._UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61k2p0awX7L._UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/510w5ZUCWsL._UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/81rQDExijRL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81vBAjBus%2BL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81BzAkn--%2BL._UL1500_.jpg
B01BSCOUF4,B01BSVLCFG,Jockey Women's Cotton Racerback Tank Top,Jockey,no,50,Clothing & Accessories Clothing & Accessories,2,"Women's Tops, T-Shirts & Shirts",,,"Clothing & Accessories|Women|Western Wear|Tops, T-Shirts & Shirts",https://www.amazon.in/dp/B01BSCOUF4?psc=1,White,Small,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81y1Q1lvw-L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81odkHoJoXL._UL1500_.jpg
B07N8J7K4Q,B07N96F44V,Vaamsi Women's crepe a-line Kurta,Vaamsi,no,52,Clothing & Accessories Clothing & Accessories,3,Women's Kurtas & Kurtis,,,Clothing & Accessories|Women|Ethnic Wear|Kurtas & Kurtis,https://www.amazon.in/dp/B07N8J7K4Q?psc=1,,Medium,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/610q1hWO4ZL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/61GGysTbzLL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/51o02W-VY-L._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/81BkHmAg-DL._UL1440_.jpg
