item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Category,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B07QPML1GF,B082R4CXZZ,Laufhose Damen Elastische Yogahose mit Hosentasche Hohe Taille Sport Leggins für Fitness 2 Stile Schwarz …,Litthing,YouZe,yes,308,Sport & Freizeit,41,Damenbekleidung,1,Yoga-Hosen für Damen,Bekleidung|Damen,https://www.amazon.de/dp/B07QPML1GF?psc=1,Schwarz A 3/4 Lang,S,15.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/51ogyC%2Bm%2BTL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61JfX-X5sWL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/71sbq6k-OhL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61TkyyRedUL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/510%2BPZQ8MkL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/512EWy%2BVdXL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51VIw6Q1PvL._AC_SL1000_.jpg
B07V9PFKLM,B07VFF2WDK,Triumph Damen Fit Smart P T-Shirt BH,Triumph,,no,144,Bekleidung,2,Klassische BHs für Damen,,,Bekleidung|Damen|Unterwäsche & Dessous|BHs|Klassische BHs,https://www.amazon.de/dp/B07V9PFKLM?psc=1,Beige (Light Brown),1,,Erhältlich bei diesen Anbietern.,https://images-na.ssl-images-amazon.com/images/I/81tovqzMG-L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81Ma%2BqptfOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41WIb5y4nnL._AC_.jpg
B07QYY4JPG,B07V8FJCF1,"ALONG FIT Leggings Damen mit Taschen, Nicht durchsichtig Sporthose Damen Dehnbar Yogahosen für Damen",ALONG FIT,AlongFitUK,yes,130,Bekleidung,5,Sportswear-Strumpfhosen & Leggings für Damen,,,Sport & Freizeit|Fitness|Yoga|Bekleidung|Damen|Shorts,https://www.amazon.de/dp/B07QYY4JPG?psc=1,Shorts-grau,XS,15.29,Nur noch 4 auf Lager,https://images-na.ssl-images-amazon.com/images/I/61M5HiX-ReL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71w5Y6ontDL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71vhN89bV9L._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/610D2ZD0FyL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/61%2BL1JudTSL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71hpDWFwqJL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/715tKQ9nbUL._AC_UL1300_.jpg
B00ITAD1CC,B07BWMKBY1,Harrys-Collection Damen Herren Baumwolltuch in vielen Farben 100 x 100 cm,Harrys-Collection,Harrys-Collection,no,132,Bekleidung,2,Halstücher für Damen,,,Bekleidung|Damen|Accessoires|Schals & Tücher|Halstücher,https://www.amazon.de/dp/B00ITAD1CC?psc=1,Grün,Einheitsgröße,3.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/81u1S0uuI0L._AC_UL1500_.jpg
B081DKR2QV,B07V5B6JQG,Hawiton Damen Sporthose Streifen Freizeithose Jogging Hose Traininghose Fitness High Waist Lang Baumwolle,Hawiton,Aibrou Direct,yes,128,Bekleidung,2,Fitness-Hosen für Damen,4,Sportswear-Hosen für Damen,Bekleidung|Damen|Streetwear|Hosen,https://www.amazon.de/dp/B081DKR2QV?psc=1,Blau-1,S,19.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/61GJHjC1aKL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61jPBD%2BXEtL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61zbI1RQHQL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61vc57oJnQL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/712tHHl1NzL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71QjYt7Fn8L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61bJ8yj2pGL._AC_UL1500_.jpg
B0784CT32S,B077PXY5CS,Dhobia ® Bandana Kopftuch Halstuch Nickituch Biker Tuch Motorad Tuch verschied. Farben Paisley Muster,Dhobia,ledermodefashion,no,138,Bekleidung,1,Kopftücher für Damen,,,Bekleidung|Damen|Accessoires|Schals & Tücher|Kopftücher,https://www.amazon.de/dp/B0784CT32S?psc=1,12er Set Gemischt,,18.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/71VUnKP2VYL._AC_UL1024_.jpg
B07B8XW5D4,B07JVTCT97,"Urban Classics Damen Leggings Tech Mesh Yoga-Fitness-Hose, lange Streetwear- & Sporthose mit Netzeinsätzen",Urban Classics,,no,140,Bekleidung,5,Leggings für Damen,,,Bekleidung|Damen|Leggings,https://www.amazon.de/dp/B07B8XW5D4?psc=1,Darkolive,XS,13.54,Erhältlich bei diesen Anbietern.,https://images-na.ssl-images-amazon.com/images/I/51MEEzPRX5L._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51v2Jb7XdgL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51rL-nznGpL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61pjZAocdcL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/41NK2AKQT9L._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51YbeZJ7z0L._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71a-slPh3cL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51aYX-DNfLL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51ur3rIV4hL._AC_UL1200_.jpg
B06XJ4B8GV,B071XVL3H6,YIANNA Damen Sport BH Gepolstert Elastizität Bustier Yoga BH ohne Bügel Atmungsaktiv Sports Bra Top,YIANNA,RuilinShangmao,yes,98,Bekleidung,1,Sport-BHs für Damen,,,Bekleidung|Damen|Streetwear|Sportunterwäsche|Sport-BHs,https://www.amazon.de/dp/B06XJ4B8GV?psc=1,Weiß,S,16.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/612vtEzTELL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61-rYO7sEZL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61dYW-jJ5LL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/715DLp7bTOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81DVWfcH94L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81jsoMrNo1L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/812g-tXQwBL._AC_UL1500_.jpg
B06ZZ382VC,B07CR38W41,"Mat & Vic's Sneaker Socken, 10 Paar, Cotton classic, Oeko-Tex Standard 100, schwarz weiß jeans blau grau grün rot rosa pink lila braun beige bunt, 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50",Mat and Vic’s,ISC Brands,yes,140,Bekleidung,5,Füßlinge & Sneakersocken für Herren,4,Füßlinge & Sneakersocken für Damen,Bekleidung|Damen|Socken & Strümpfe|Socken|Füßlinge & Sneakersocken,https://www.amazon.de/dp/B06ZZ382VC?psc=1,Earth Colors,35-38,15.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/91t80ubS%2BsL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91UnL7JyZjL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91brSQdGl5L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91mkvW03-LL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91PNlC7h4AL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/910wfdymd1L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91pXAYBtxbL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81Xtcu37GIL._AC_UL1500_.jpg
B083P3LSR2,B082DXHDYB,Nike Damen Sweatpants W NSW Essntl Pant Reg FLC,Nike,kalbachs,no,117,Bekleidung,1,Fitness-Hosen für Damen,3,Damen-Hosen,Sport & Freizeit|Fitness|Bekleidung,https://www.amazon.de/dp/B083P3LSR2?psc=1,674wmelon,XS,39.90,Gewöhnlich versandfertig in 3 bis 4 Tagen.,https://images-na.ssl-images-amazon.com/images/I/61aGduOsKGL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61-piqWhJ0L._AC_SL1500_.jpg
