item>>brand,item>>categories,item>>description,item>>image,item>>instock,item>>price,item>>rating,item>>seller,item>>sku,item>>title,item>>total_reviews,item>>url
Яшкино,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/0f/1a/1c0dfc9943014f29cb3cf6512a0f.jpg,yes,59.99,4.9,Перекрёсток,56765,"Крекер Яшкино Классический, 180г",71,https://www.perekrestok.ru/cat/399/p/kreker-askino-klassiceskij-180g-3632221
Tuc,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/e1/db/008a78b01329f066b32f3515f5b0.jpg,yes,83.99,4.9,Перекрёсток,42978,"Крекер Tuc со сметаной и луком, 100г",35,https://www.perekrestok.ru/cat/399/p/kreker-tuc-so-smetanoj-i-lukom-100g-3400349
Любятово,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/41/0c/634557f802047bd3738512a41cb8.png,yes,49.9,4.87,Перекрёсток,278892,"Крекер Любятово Янтарный с солью, 204г",14,https://www.perekrestok.ru/cat/399/p/kreker-lubatovo-antarnyj-s-solu-204g-4122152
Пр!ст,"От Перекрёстка,Пр!ст",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/ed/aa/2b690c36f3e8bdc88678a71da9a7.jpg,yes,45.99,4.83,Перекрёсток,63391,"Крекер Пр!ст Рыбки с луком, 200г",26,https://www.perekrestok.ru/cat/361/p/kreker-pr-st-rybki-s-lukom-200g-4050548
Tuc,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/50/5f/ab8d162e91777ec9d929a4a6261c.jpg,yes,83.99,4.9,Перекрёсток,42322,"Крекер Tuc Original с солью, 100г",20,https://www.perekrestok.ru/cat/399/p/kreker-tuc-original-s-solu-100g-3329546
Tuc,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/41/c9/c6083c84dbcdacc084175d111c34.jpg,yes,83.99,4.89,Перекрёсток,42484,"Крекер Tuc Cheezzz с сыром, 100г",19,https://www.perekrestok.ru/cat/399/p/kreker-tuc-cheezzz-s-syrom-100g-3329548
Пр!ст,"От Перекрёстка,Пр!ст",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/bc/ab/640a4717297ae5110c25f7cff93f.jpg,yes,41.99,4.77,Перекрёсток,63395,"Крекер Пр!ст Смайл с солью, 200г",20,https://www.perekrestok.ru/cat/361/p/kreker-pr-st-smajl-s-solu-200g-4050551
Tuc,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/cc/56/a459f9002a1002c03190f0da1e76.jpg,yes,83.99,4.85,Перекрёсток,42823,"Крекер Tuc со вкусом пиццы, 100г",17,https://www.perekrestok.ru/cat/399/p/kreker-tuc-so-vkusom-piccy-100g-3490862
Ухтышки,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/aa/b2/edcd5f1661789a0d7636e4451f71.jpg,yes,45.99,4.91,Перекрёсток,63400,"Крекер Ухтышки фигурный, 200г",18,https://www.perekrestok.ru/cat/399/p/kreker-uhtyski-figurnyj-200g-4051304
Absolute Nature,"Здоровое питание,Полезные сладости",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/2a/b7/4c03fb105a13397cfceb6f600c05.jpg,yes,24.99,4.76,Перекрёсток,59979,"Галеты Absolute Nature с воздушными зернами гречихи-молоком-орехами, 30г",32,https://www.perekrestok.ru/cat/433/p/galety-absolute-nature-s-vozdusnymi-zernami-grecihi-molokom-orehami-30g-3665204
Eco botanica,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/6a/4a/60aab4c422679aa995c6aaa00dea.jpg,yes,73.9,4.85,Перекрёсток,51804,"Крекер Eco Botanica пищевые волокна-картофель-зелень, 175г",41,https://www.perekrestok.ru/cat/399/p/kreker-eco-botanica-pisevye-volokna-kartofel-zelen-175g-3604374
Пр!ст,"От Перекрёстка,Пр!ст",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/5d/32/d6f85daa45ff60ea45bb530bd30f.jpg,yes,39.99,4.84,Перекрёсток,63393,"Крекер Пр!ст Рыбки с маком, 200г",11,https://www.perekrestok.ru/cat/361/p/kreker-pr-st-rybki-s-makom-200g-4050550
ЯСНАЯ ПОЛЯНА,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/a9/0f/2156c11d9923d775f14a82b1ea71.jpg,yes,109.99,4.83,Перекрёсток,51144,"Крекер Ясная Поляна Забавные животные, 400г",6,https://www.perekrestok.ru/cat/399/p/kreker-asnaa-polana-zabavnye-zivotnye-400g-3238700
Любятово,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/31/27/2b394741d28ac510147d13e26309.jpg,yes,329.99,4.79,Перекрёсток,43154,"Крекер Любятово Янтарный с сыром, кг",11,https://www.perekrestok.ru/cat/399/p/kreker-lubatovo-antarnyj-s-syrom-kg-78002651
Любятово,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/96/69/517fc9c70a15f780081965191b5e.jpg,yes,49.99,4.81,Перекрёсток,267798,"Крекер Любятово с розмарином и морской солью, 150г",8,https://www.perekrestok.ru/cat/399/p/kreker-lubatovo-s-rozmarinom-i-morskoj-solu-150g-4113924
Здрава,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/28/c8/589acd0c1f4a9142624414315704.jpg,yes,65.99,4.85,Перекрёсток,52498,"Крекер Здрава Дымка ржаной, 250г",11,https://www.perekrestok.ru/cat/399/p/kreker-zdrava-dymka-rzanoj-250g-3476766
