product>>brand,product>>categories,product>>color,product>>description,product>>gender,product>>image,product>>instock,product>>price,product>>rating,product>>seller,product>>sku,product>>title,product>>total_reviews,product>>url
Zolla,"Одежда, Женщинам, Блузы и рубашки",Белый,"Нежная женственная блузка из эластичной хлопковой ткани с фактурным узором добавит вашим образам лёгкости и изящества. Прилегающий силуэт, круглый вырез, короткий рукав фасона ""фонарик"" на резинке. Размер на модели: XS. Рост модели: 172 см. ОГ-ОТ-ОБ: 84-60-86 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-b/6262174439.jpg,yes,1133,0.0,Zolla,507135819,Блузка Zolla,0,https://www.ozon.ru/product/bluzka-zolla-507135819/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Черный,"Нежная блузка из легкого материала с цветочным принтом создаст изящный образ на каждый день. Объемный силуэт, тонкая резинка на манжетах и по нижнему краю. Вырез украшен шармом со сверкающими стразами. Размер на модели: XS. Рост модели: 172 см. ОГ-ОТ-ОБ: 81-57-86 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-7/6167456599.jpg,yes,1079,4.8,Zolla,416372344,Рубашка Zolla,4,https://www.ozon.ru/product/rubashka-zolla-416372344/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,,Женский,https://cdn1.ozone.ru/s3/multimedia-4/6056883136.jpg,yes,764,4.4,Zolla,248961689,Блузка Zolla,7,https://www.ozon.ru/product/bluzka-zolla-248961689/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,"Лёгкая женская блузка прямого кроя с коротким рукавом прекрасно подойдёт для создания расслабленного делового или очаровательного повседневного образа. Прямой силуэт, отложной воротник, короткий спущенный рукав с отворотом, короткая планка на пуговицах, короткие боковые разрезы. Размер на модели: XS. Рост модели: 176 см. ОГ-ОТ-ОБ: 83-60-88 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-3/6247652607.jpg,yes,1223,5.0,Zolla,484818044,Рубашка Zolla,2,https://www.ozon.ru/product/rubashka-zolla-484818044/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,"Нарядная женская блузка с контрастными леопардовым узором и пояском в тон подойдет как для нестрогого офисного дресс-кода, так и для комфортной повседневной носки. Приталенный силуэт, круглый ворот, треугольный вырез с металлической цепочкой на груди, короткий спущенный рука, съёмный тканевый пояс в комплекте. Размер на модели: XS.",Женский,https://cdn1.ozone.ru/s3/multimedia-o/6247652448.jpg,yes,1223,0.0,Zolla,484818195,Блузка Zolla,0,https://www.ozon.ru/product/bluzka-zolla-484818195/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Серый,,Женский,https://cdn1.ozone.ru/s3/multimedia-x/6049140969.jpg,yes,593,4.8,Zolla,226164171,Блузка Zolla,38,https://www.ozon.ru/product/bluzka-zolla-226164171/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Черный,"Блузка объемного силуэта гармонично дополнит повседневный образ с брюками, юбкой или джинсами. Блузка имеет тонкую резинку на манжетах и по нижнему краю и круглый вырез с завязками. Размер на модели: XS.",Женский,https://cdn1.ozone.ru/s3/multimedia-t/6167442941.jpg,yes,1519,4.5,Zolla,416351924,Блузка Zolla,2,https://www.ozon.ru/product/bluzka-zolla-416351924/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Голубой,"Женская рубашка с узором в тонкую голубую полоску и акцентными манжетами-завязками на рукавах поможет добавить оригинальности и разнообразит привычный деловой или повседневный образ. Хлопковая ткань, силуэт oversize, отложной воротник, спущенная линия плеча, рукав 3/4 с манжетой с завязками, нагрудный карман, закруглённый нижний край, удлинённая спинка, застёжка на пуговицах. Размер на модели: XS. Рост модели: 174 см. ОГ-ОТ-ОБ: 86-58-90,5 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-9/6272395125.jpg,yes,1781,0.0,Zolla,522397675,Рубашка Zolla,0,https://www.ozon.ru/product/rubashka-zolla-522397675/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,"Лаконичная блузка из мягкой, дышащей вискозы. Изделие свободного кроя с V-образным вырезом, переходящим в планку на пуговицах, и короткими рукавами прекрасно сочетается с вещами из денима. Размер на модели: S. Рост модели: 177 см. ОГ-ОТ-ОБ: 86-63-92 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-h/6066143393.jpg,yes,759,4.9,Zolla,248961848,Блузка Zolla,15,https://www.ozon.ru/product/bluzka-zolla-248961848/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Белый,"Белая женская рубашка с акцентными манжетами-завязками на рукавах поможет добавить оригинальности и разнообразит привычный деловой или повседневный образ. Хлопковая ткань, силуэт oversize, отложной воротник, спущенная линия плеча, рукав 3/4 с манжетой с завязками, нагрудный карман, закруглённый нижний край, удлинённая спинка, застёжка на пуговицах. Размер на модели: XS. Рост модели: 177 см. ОГ-ОТ-ОБ: 84-60-90 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-q/6272395106.jpg,yes,1781,0.0,Zolla,522398189,Рубашка Zolla,0,https://www.ozon.ru/product/rubashka-zolla-522398189/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Белый,"Блузка с вышивкой ришелье выполнена из мягкого, дышащего хлопка. Изделие прямого силуэта акцентировано элегантным V-образным вырезом и объемными рукавами-фонариками. Застежка на ряд пуговиц. Размер на модели: XS. Рост модели: 175 см. ОГ-ОТ-ОБ: 86-62-93 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-o/6066143364.jpg,yes,989,4.2,Zolla,248961643,Блузка Zolla,11,https://www.ozon.ru/product/bluzka-zolla-248961643/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Голубой,"Непринужденный свободный крой рубашки гармонично дополнен невероятно женственной брошью. Силуэт оверсайз, легкий дышащий материал, рукава 3/4. Комбинируйте изделие с джинсами любого кроя и посадки: от скинни до бойфрендов. Размер на модели: XS. Рост модели: 176 см. ОГ-ОТ-ОБ: 82-60-89 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-z/6033872939.jpg,yes,999,4.0,Zolla,204017208,Рубашка Zolla,10,https://www.ozon.ru/product/rubashka-zolla-204017208/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Черный,,Женский,https://cdn1.ozone.ru/s3/multimedia-t/6049145357.jpg,yes,503,4.8,Zolla,225770135,Блузка Zolla,21,https://www.ozon.ru/product/bluzka-zolla-225770135/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Белый,"Нежная женственная блузка из эластичной фактурной ткани добавит вашим образам лёгкости и изящества. Прилегающий силуэт, круглый вырез, короткий рукав фасона ""фонарик"" на резинке. Размер на модели: XS. Рост модели: 174 см. ОГ-ОТ-ОБ: 86-58-90,5 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-1/6262168381.jpg,yes,1133,0.0,Zolla,507115709,Блузка Zolla,0,https://www.ozon.ru/product/bluzka-zolla-507115709/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Белый,"Белая женская рубашка из эластичной ткани с высоким содержанием хлопка в составе идеально дополнит строгий деловой образ и будет незаменима для работы, учебы или деловых встреч. Полуприлегающий силуэт, отложной воротник, длинный рукав с манжетой на пуговицах, закруглённая нижняя кромка, планка на пуговицах. Размер на модели: XS.",Женский,https://cdn1.ozone.ru/s3/multimedia-c/6236623980.jpg,yes,1151,5.0,Zolla,469783714,Рубашка Zolla,2,https://www.ozon.ru/product/rubashka-zolla-469783714/
