item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Caregory,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B017XVYVQC,B017XVYQYY,PUMA Women's 6 Pack Low Cut Socks,PUMA,Amazon,no,49,Clothing & Accessories,1,Women's Athletic Socks,,,Clothing & Accessories|Women|Activewear|Socks,https://www.amazon.ca/dp/B017XVYVQC?psc=1,Black W/ White,9 - 11,12.09,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81hAk3FI7FL._AC_UL1500_.jpg
B07ZLY49M1,B07VYRWHVN,INSTINNCT Yoga Pants Seamless High Waist Tummy Control Butt Push up Gym Sport Workout Leggings for Women,INSTINNCT,Best Fashion HJ Store,yes,54,Clothing & Accessories,5,Women's Athletic Tights & Leggings,,,Clothing & Accessories|Women|Activewear|Tights & Leggings,https://www.amazon.ca/dp/B07ZLY49M1?psc=1,#0 Camo Black,Small,29.98,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61%2Bluuco50L._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71nQ%2BTzYn-L._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71O9HDlyIlL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71mzZAkvl8L._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71RfeNOM3HL._AC_UL1080_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Zh2BLivRL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61w%2B8PM4U-L._AC_UL1300_.jpg
B071XTF837,B06ZY8377C,WingsLove Women’s High Impact Comfort Full Support Non Padded Sport Bra,WingsLove,WingsLove-CA,yes,55,Clothing & Accessories,1,Women's Plus Sports Bras,2,Women's Sports Bras,"Clothing & Accessories|Women|Shops|Plus-Size|Lingerie, Sleep & Lounge|Intimates|Bras|Sports Bras",https://www.amazon.ca/dp/B071XTF837?psc=1,Nude,34B,30.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81l1hQn7V0L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81GwZOvfRXL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81YTNsMXWCL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81L2h-I7HzL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81gwgspbZhL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81YRvbjZmuL._AC_UL1500_.jpg
B07DCSRWRV,B07XRDB3WP,CRZ YOGA Women's Naked Feeling High Waist Tight Yoga Pants Workout Leggings-25 Inches,CRZ YOGA,CRZ YOGA,no,56,Clothing & Accessories,6,Women's Athletic Tights & Leggings,,,Clothing & Accessories|Women|Activewear|Tights & Leggings,https://www.amazon.ca/dp/B07DCSRWRV?psc=1,Black,XX-Small,29.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61GX6088cpL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/612U7%2BH8D6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61N4lKkNuNL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/717NCbn9bBL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71LB2anGk6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61kya63mqLL._AC_UL1500_.jpg
B07LGXL4S4,B0771RCW6Z,Saucony womens Performance Heel Tab Athletic Socks (8 & 16 Packs) Running Socks,Saucony,Amazon,no,62,Clothing & Accessories,2,Women's Athletic Socks,,,Clothing & Accessories|Women|Activewear|Socks,https://www.amazon.ca/dp/B07LGXL4S4?psc=1,Assorted Light (8 Pack),Shoe Size: 5-10,19.48,In Stock.,https://images-na.ssl-images-amazon.com/images/I/91daOsBKPrL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/710r5fgoCrL._AC_UL1200_.jpg
B081S58QFL,B00GOMDGOA,PUMA Women's 6 Pack Low Cut Socks,PUMA,,no,65,Clothing & Accessories,16,Women's Activewear,1,Women's Liners & Ankle Socks,Clothing & Accessories|Women|Activewear|Socks,https://www.amazon.ca/dp/B081S58QFL?psc=1,004 Grey,9 - 11,,Available from these sellers.,https://images-na.ssl-images-amazon.com/images/I/81Bhfb7iTlL._AC_UL1500_.jpg
B01C8NW1BC,B081TW5ZNS,PUMA Women's 6-Pack Low Cut Athletic Socks with Arch Support,PUMA,Amazon,no,70,Clothing & Accessories,3,Women's Athletic Socks,,,Clothing & Accessories|Women|Activewear|Socks,https://www.amazon.ca/dp/B01C8NW1BC?psc=1,Grey/Blue,9 - 11,12.57,In Stock.,https://images-na.ssl-images-amazon.com/images/I/918z6DdUocL._AC_UL1500_.jpg
B081YGWTLF,B07S911XJZ,JINGCHENG Women's Comfy Stretch Floral Print High Waist Drawstring Palazzo Wide Leg Pants,JINGCHENG,Daisy Augustus,no,72,Clothing & Accessories,1,Women's Casual Pants,,,Clothing & Accessories|Women|Pants|Casual,https://www.amazon.ca/dp/B081YGWTLF?psc=1,024-bell,Small,18.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71pfoSVqmhL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/719pkvSok1L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71nDXKtF31L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ba-O2K81L._AC_UL1500_.jpg
B07QG57D6Q,B01NGYE79U,YIANNA Women's Latex Waist Trainer Corsets for Weight Loss Underbust Sport Girdle Hourglass Body Shaper,YIANNA,YIANNA,yes,75,Clothing & Accessories,1,Women's Shapewear Waist Cinchers,,,"Clothing & Accessories|Women|Lingerie, Sleep & Lounge|Lingerie & Underwear|Shapewear|Waist Cinchers",https://www.amazon.ca/dp/B07QG57D6Q?psc=1,Black,X-Small,29.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71WVkbizoNL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71eITHNCQ8L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81qXnjXiUOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81hwQ7DO9oL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61spvfkVdDL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71-p2iKZAxL._AC_UL1039_.jpg|https://images-na.ssl-images-amazon.com/images/I/81sHdpwF16L._AC_UL1500_.jpg
B07QVX4S2X,B00HUS6UMW,Fruit of the Loom Women's 6-Pack Assorted Cotton Bikini Panties,Fruit of the Loom,NY Lingerie CA,no,76,Clothing & Accessories,1,Women's Bikini Panties,,,"Clothing & Accessories|Women|Lingerie, Sleep & Lounge|Lingerie & Underwear|Panties|Bikinis",https://www.amazon.ca/dp/B07QVX4S2X?psc=1,Assorted,7,17.86,Usually ships within 3 to 5 weeks.,https://images-na.ssl-images-amazon.com/images/I/81aRHksOPKL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/818X%2BzIIx9L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51fSwl0nBDL._AC_UL1109_.jpg|https://images-na.ssl-images-amazon.com/images/I/714AMIgKZkL._AC_UL1500_.jpg
